title_year,country,duration,content_rating,budget,facenumber_in_poster,director_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,imdb_score
2009.0,USA,178.0,PG-13,237000000.0,0.0,0.0,4834,33000,7.9
2007.0,USA,169.0,PG-13,300000000.0,0.0,563.0,48350,0,7.1
2015.0,UK,148.0,PG-13,245000000.0,1.0,0.0,11700,85000,6.8
2012.0,USA,164.0,PG-13,250000000.0,0.0,22000.0,106759,164000,8.5
2012.0,USA,132.0,PG-13,263700000.0,1.0,475.0,1873,24000,6.6
2007.0,USA,156.0,PG-13,258000000.0,0.0,0.0,46055,0,6.2
2010.0,USA,100.0,PG,260000000.0,1.0,15.0,2036,29000,7.8
2015.0,USA,141.0,PG-13,250000000.0,4.0,0.0,92000,118000,7.5
2009.0,UK,153.0,PG,250000000.0,3.0,282.0,58753,10000,7.5
2016.0,USA,183.0,PG-13,250000000.0,0.0,0.0,24450,197000,6.9
2006.0,USA,169.0,PG-13,209000000.0,0.0,0.0,29991,0,6.1
2008.0,UK,106.0,PG-13,200000000.0,1.0,395.0,2023,0,6.7
2006.0,USA,151.0,PG-13,225000000.0,2.0,563.0,48486,5000,7.3
2013.0,USA,150.0,PG-13,215000000.0,1.0,563.0,45757,48000,6.5
2013.0,USA,143.0,PG-13,225000000.0,0.0,0.0,20495,118000,7.2
2008.0,USA,150.0,PG,225000000.0,4.0,80.0,22697,0,6.6
2011.0,USA,136.0,PG-13,250000000.0,4.0,252.0,54083,58000,6.7
2012.0,USA,106.0,PG-13,225000000.0,1.0,188.0,12572,40000,6.8
2014.0,New Zealand,164.0,PG-13,250000000.0,0.0,0.0,9152,65000,7.5
2012.0,USA,153.0,PG-13,230000000.0,0.0,464.0,28489,56000,7.0
2010.0,USA,156.0,PG-13,200000000.0,0.0,0.0,3244,17000,6.7
2013.0,USA,186.0,PG-13,225000000.0,6.0,0.0,9152,83000,7.9
2007.0,USA,113.0,PG-13,180000000.0,2.0,129.0,24106,0,6.1
2005.0,New Zealand,201.0,PG-13,207000000.0,0.0,0.0,7123,0,7.2
1997.0,USA,194.0,PG-13,200000000.0,0.0,0.0,45223,26000,7.7
2016.0,USA,147.0,PG-13,250000000.0,0.0,94.0,64798,72000,8.2
2012.0,USA,131.0,PG-13,209000000.0,0.0,532.0,26679,44000,5.9
2015.0,USA,124.0,PG-13,150000000.0,0.0,365.0,8458,150000,7.0
2012.0,UK,143.0,PG-13,200000000.0,0.0,0.0,2039,80000,7.8
2004.0,USA,135.0,PG-13,200000000.0,1.0,0.0,43388,0,7.3
2013.0,USA,195.0,PG-13,200000000.0,3.0,1000.0,30426,95000,7.2
2010.0,USA,108.0,PG,200000000.0,0.0,13000.0,79957,24000,6.5
2006.0,Canada,104.0,PG-13,210000000.0,0.0,420.0,21714,0,6.8
2013.0,USA,104.0,G,200000000.0,0.0,37.0,14863,44000,7.3
2009.0,USA,150.0,PG-13,200000000.0,0.0,0.0,3218,0,6.0
2014.0,USA,165.0,PG-13,210000000.0,2.0,0.0,3988,56000,5.7
2013.0,USA,130.0,PG,215000000.0,4.0,0.0,73441,60000,6.4
2014.0,USA,142.0,PG-13,200000000.0,0.0,464.0,28631,41000,6.7
2010.0,USA,125.0,PG,170000000.0,0.0,364.0,25550,30000,6.8
2011.0,USA,106.0,G,200000000.0,0.0,487.0,4482,10000,6.3
2011.0,USA,123.0,PG-13,200000000.0,2.0,258.0,17657,24000,5.6
2010.0,USA,103.0,G,200000000.0,3.0,125.0,19085,30000,8.3
2009.0,USA,118.0,PG-13,200000000.0,0.0,368.0,27468,0,6.6
2015.0,USA,140.0,PG-13,190000000.0,0.0,0.0,79150,94000,7.2
2013.0,USA,123.0,PG-13,190000000.0,0.0,395.0,32392,129000,7.0
2014.0,USA,149.0,PG-13,200000000.0,7.0,0.0,91434,82000,8.0
2013.0,USA,132.0,PG-13,190000000.0,0.0,14000.0,21411,92000,7.8
2013.0,USA,114.0,PG-13,195000000.0,1.0,0.0,1766,22000,6.3
2013.0,Australia,143.0,PG-13,105000000.0,4.0,1000.0,29770,115000,7.3
2010.0,USA,116.0,PG-13,200000000.0,2.0,179.0,16149,23000,6.6
2013.0,USA,131.0,PG-13,190000000.0,0.0,0.0,19166,83000,7.0
2011.0,USA,154.0,PG-13,195000000.0,2.0,0.0,2593,46000,6.3
2008.0,USA,122.0,PG-13,185000000.0,2.0,14000.0,14959,5000,6.2
2015.0,USA,93.0,PG,41114212.86969768,0.0,113.0,696,20000,6.8
2012.0,USA,93.0,PG,185000000.0,0.0,56.0,5005,39000,7.2
2016.0,USA,122.0,PG-13,185000000.0,4.0,681.0,1327,30000,7.5
2008.0,USA,98.0,G,180000000.0,0.0,475.0,2975,16000,8.4
2007.0,USA,91.0,PG-13,140000000.0,2.0,420.0,1125,0,6.2
2009.0,USA,158.0,PG-13,200000000.0,0.0,776.0,2144,13000,5.8
2009.0,USA,96.0,PG,200000000.0,0.0,0.0,48878,0,6.8
2015.0,USA,127.0,PG-13,176000000.0,1.0,0.0,47334,44000,5.4
2005.0,USA,150.0,PG,180000000.0,5.0,80.0,1317,0,6.9
2016.0,USA,144.0,PG-13,178000000.0,6.0,0.0,49684,54000,7.3
2008.0,USA,152.0,PG-13,185000000.0,0.0,22000.0,57802,37000,9.0
2009.0,USA,96.0,PG,175000000.0,1.0,0.0,2635,27000,8.3
2009.0,USA,94.0,PG,175000000.0,2.0,11.0,2579,0,6.5
2008.0,USA,126.0,PG-13,140000000.0,3.0,4000.0,39252,10000,7.9
2011.0,USA,126.0,PG,170000000.0,0.0,17000.0,36017,42000,7.5
1999.0,USA,106.0,PG-13,170000000.0,2.0,188.0,15870,0,4.8
2008.0,USA,112.0,PG-13,145000000.0,2.0,357.0,9131,0,5.2
2016.0,USA,123.0,PG-13,175000000.0,8.0,452.0,11287,80000,6.9
2007.0,USA,96.0,PG,175000000.0,0.0,293.0,108016,2000,5.4
2014.0,USA,113.0,PG-13,178000000.0,1.0,218.0,12652,77000,7.9
1995.0,USA,176.0,PG-13,175000000.0,0.0,58.0,1004,0,6.1
2009.0,USA,118.0,PG-13,175000000.0,4.0,208.0,26683,0,5.8
2015.0,USA,95.0,PG,175000000.0,1.0,0.0,2944,118000,8.3
2016.0,UK,106.0,PG,175000000.0,0.0,4000.0,32921,65000,7.8
2010.0,USA,124.0,PG-13,200000000.0,4.0,4000.0,48638,18000,7.0
